segment_id,track_id,group,split,scale_seconds,local_l2_norm,phase_l2_norm,focus_logit,focus_probability,focus_band_loss,predicted_group
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,0.719441966762275,0.5306146543661104,-3.2075214803208527,0.03888365520716192,20.535005674147712,classical
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,0.8623634668961992,0.06466735819638203,-2.5158090806596003,0.07475730929977069,14.744403868544499,classical
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,0.7495101490397147,0.6177402769287265,-2.81116721492225,0.05672369534693503,17.099898763427642,classical
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,1.4813398807509401,0.17579470924604082,-3.0513360100501834,0.04515982914994289,19.14387296232599,classical
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,1.03500071884292,0.23095139571035803,-2.083092129316138,0.11075107078516447,11.608516433053984,classical
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,0.5907289845332464,0.17776620263011944,-2.673788349603667,0.06453787790729902,15.982592893085105,classical
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,0.7298544396561153,0.521094465736316,-3.9251123224923017,0.019357798132972268,27.553549396873183,classical
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,0.7470369699841433,0.4200226244971419,-3.4724015728042756,0.03010777325449957,23.005805426749706,classical
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,0.6830062547014182,0.646682150842486,-1.9121273567117492,0.12874204327863473,10.472747898636767,classical
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,0.7891362939267434,0.5999489061792287,-3.4622369558320325,0.030406015153081382,22.90840086154557,classical
classical_musicnet_1742__180s,classical_musicnet_1742,classical,validation,180.0,0.6504516647471709,0.5198592106017889,-0.4897647172813401,0.379948995818842,3.289870030733788,classical
classical_musicnet_1742__300s,classical_musicnet_1742,classical,validation,300.0,0.8736213633753515,0.5435271038581322,-0.5319005431887576,0.37007372569782837,3.444497371112899,classical
classical_musicnet_1763__180s,classical_musicnet_1763,classical,validation,180.0,1.2373376778432146,0.3113802306665269,-4.0884275628694,0.016489125967275694,29.294752833601926,classical
classical_musicnet_1763__300s,classical_musicnet_1763,classical,validation,300.0,0.9295890150521812,0.15649063969888993,-3.9758937163245163,0.018416976628028336,28.089246199021687,classical
classical_musicnet_1764__180s,classical_musicnet_1764,classical,validation,180.0,0.8754111664865876,0.8336697995528475,-1.284364434195908,0.21680821619404197,6.803748494640134,classical
classical_musicnet_1764__300s,classical_musicnet_1764,classical,validation,300.0,0.9915573510448222,0.38973958916444285,-2.262048778554614,0.09431521706154392,12.85999808535345,classical
classical_musicnet_1765__180s,classical_musicnet_1765,classical,validation,180.0,1.105882881306555,0.21947403275597302,-2.2202599003550256,0.09794583906439613,12.56202754502381,classical
classical_musicnet_1765__300s,classical_musicnet_1765,classical,validation,300.0,0.6399284847342112,0.22682342982489473,-3.546265381948129,0.02802412107483155,23.719827465318083,classical
classical_musicnet_1766__180s,classical_musicnet_1766,classical,validation,180.0,0.6444844631560367,0.23577411780185897,-2.172434211107172,0.10225336222914422,12.225298132310552,classical
classical_musicnet_1766__300s,classical_musicnet_1766,classical,validation,300.0,0.7960925078261111,0.6517983336965695,-3.775161234517284,0.022419243377152554,26.00180397080739,classical
classical_musicnet_1805__180s,classical_musicnet_1805,classical,validation,180.0,0.8909545731187463,0.45737143938433844,-1.9029987021234451,0.12976945676971124,10.413747611177282,classical
classical_musicnet_1805__300s,classical_musicnet_1805,classical,validation,300.0,0.7806153723631287,0.20396509748659558,-1.3381234333353171,0.20781882864726167,7.087088428772104,classical
classical_musicnet_1807__180s,classical_musicnet_1807,classical,validation,180.0,0.7525193154136881,0.6933079890048175,-2.6122307172866908,0.06835540821713261,15.494189134618223,classical
classical_musicnet_1807__300s,classical_musicnet_1807,classical,validation,300.0,0.6493897791377428,0.3923992587476166,-2.5949035747004325,0.06946713871350543,15.358080883919062,classical
classical_musicnet_1811__180s,classical_musicnet_1811,classical,validation,180.0,0.6883988472590417,0.26520647919591367,-0.6390363852967154,0.3454643982849211,3.8536499308167644,classical
classical_musicnet_1811__300s,classical_musicnet_1811,classical,validation,300.0,0.9789378149470197,0.12921506763882468,0.3047691064438748,0.5756079485557112,1.0389033081103938,focus
classical_musicnet_1812__180s,classical_musicnet_1812,classical,validation,180.0,1.2022813405342572,0.6235895895222574,-3.080282710803248,0.04392794049861646,19.39801599426959,classical
classical_musicnet_1812__300s,classical_musicnet_1812,classical,validation,300.0,0.9363516915699401,0.4096646797950129,-3.927809877158931,0.019306656592714966,27.581876398302214,classical
classical_musicnet_1813__180s,classical_musicnet_1813,classical,validation,180.0,0.6661530435181352,0.3851688751176886,-2.7458658621138414,0.06032055581893243,16.564094410375546,classical
classical_musicnet_1813__300s,classical_musicnet_1813,classical,validation,300.0,0.8617530987242514,0.13077748756931912,-2.499405049014205,0.07589989882275168,14.618695107599631,classical
classical_musicnet_1817__180s,classical_musicnet_1817,classical,validation,180.0,0.8926838039794225,0.4526718168385516,-1.5864788603099302,0.16987987349007339,8.47109192004042,classical
classical_musicnet_1817__300s,classical_musicnet_1817,classical,validation,300.0,0.8330840172018219,0.2400284076021239,-0.9322256520469159,0.2824733961914404,5.090712896646036,classical
classical_musicnet_1818__180s,classical_musicnet_1818,classical,validation,180.0,0.8422959924062577,0.9406211355659785,-0.8186450105816236,0.3060513622124837,4.591078355822556,classical
classical_musicnet_1818__300s,classical_musicnet_1818,classical,validation,300.0,0.9745887308000678,0.7291416950935778,-1.8375057579809997,0.13734654931616852,9.995341038657495,classical
classical_musicnet_1819__180s,classical_musicnet_1819,classical,validation,180.0,1.6559484734892926,0.07172048525982361,-2.111126962120052,0.10802003406217171,11.800338873254601,classical
classical_musicnet_1819__300s,classical_musicnet_1819,classical,validation,300.0,1.6559484734892926,0.07172048525982361,-2.111126962120052,0.10802003406217171,11.800338873254601,classical
classical_musicnet_1828__180s,classical_musicnet_1828,classical,validation,180.0,0.5979643333316055,0.37825209598568643,-4.02920950551575,0.017477489685186292,28.65722855485157,classical
classical_musicnet_1828__300s,classical_musicnet_1828,classical,validation,300.0,0.7742492334522209,0.37697220481898513,-3.820876859753658,0.02143888612705729,26.470119792860025,classical
classical_musicnet_1829__180s,classical_musicnet_1829,classical,validation,180.0,0.706412339046376,0.7892949435558594,-4.369805999973695,0.012495579888499548,32.41982726773216,classical
classical_musicnet_1829__300s,classical_musicnet_1829,classical,validation,300.0,0.7772935329703834,0.16796082338341672,-3.485567197397947,0.029725689216764543,23.132274931504085,classical
classical_musicnet_1835__180s,classical_musicnet_1835,classical,validation,180.0,0.9373320469681142,0.4547815194823122,-1.7673137481032046,0.1458767087594905,9.55643813283063,classical
classical_musicnet_1835__300s,classical_musicnet_1835,classical,validation,300.0,0.8190540403345425,0.5088441864731428,-2.869910897512941,0.0536611765989593,17.589183616356326,classical
classical_musicnet_1859__180s,classical_musicnet_1859,classical,validation,180.0,1.2354424444447774,0.12108005778458754,-4.26247813658936,0.013891652194611501,31.209130923566498,classical
classical_musicnet_1859__300s,classical_musicnet_1859,classical,validation,300.0,0.7259553467785668,0.356957540936231,-3.4698746708177857,0.03018164974499703,22.98157156091694,classical
classical_musicnet_1872__180s,classical_musicnet_1872,classical,validation,180.0,0.6511004433283342,0.2609161628659862,-2.6901419143192618,0.06355757135451204,16.113617663459426,classical
classical_musicnet_1872__300s,classical_musicnet_1872,classical,validation,300.0,0.8781879357676603,0.143407142837851,-2.615787017953043,0.06812927987091077,15.52219887188773,classical
classical_musicnet_1873__180s,classical_musicnet_1873,classical,validation,180.0,0.7478813004495672,0.1131641319137282,-2.6619636088483007,0.0652554565228537,15.888186264171397,classical
classical_musicnet_1873__300s,classical_musicnet_1873,classical,validation,300.0,0.794335421569453,0.26292466751586,-2.4173259212731177,0.08186101405780837,13.997782814533267,classical
classical_musicnet_1876__180s,classical_musicnet_1876,classical,validation,180.0,0.6232762354893261,0.9059814326823411,-3.8355723659599006,0.02113274379327379,26.62154992408733,classical
classical_musicnet_1876__300s,classical_musicnet_1876,classical,validation,300.0,0.8376561492339232,0.5585239271763793,-3.936585192936498,0.019141204534579126,27.674126601874768,classical
classical_musicnet_1893__180s,classical_musicnet_1893,classical,validation,180.0,0.6708023137792162,0.28272839172497677,-2.991030289492386,0.047832743683232246,18.619789918828722,classical
classical_musicnet_1893__300s,classical_musicnet_1893,classical,validation,300.0,0.8409822157649649,0.4579826800397709,-3.875285475419325,0.020326667750997344,27.0329351728287,classical
classical_musicnet_2075__180s,classical_musicnet_2075,classical,discovery,180.0,0.7026201014451586,0.4430868077888452,-1.6686374171349778,0.15860593107531423,8.956089213181958,classical
classical_musicnet_2075__300s,classical_musicnet_2075,classical,discovery,300.0,1.2416834782698507,0.37533694518655,-1.5701783158697973,0.17219097288262009,8.376471701203377,classical
classical_musicnet_2076__180s,classical_musicnet_2076,classical,discovery,180.0,0.8314490926481161,0.6655020321547822,-0.574780543544274,0.36013447273634924,3.605501113617387,classical
classical_musicnet_2076__300s,classical_musicnet_2076,classical,discovery,300.0,0.8014528446913253,0.5693170217092579,-1.5868797304877165,0.16982334997697557,8.473425557290797,classical
classical_musicnet_2077__180s,classical_musicnet_2077,classical,discovery,180.0,0.8725490576027864,0.5202436423459783,-0.7755219701708417,0.3152858055453845,4.40814018441637,classical
classical_musicnet_2077__300s,classical_musicnet_2077,classical,discovery,300.0,0.8507515733015183,0.2999120549722546,0.3918459754363556,0.5967270012079938,0.8689766942720781,focus
classical_musicnet_2078__180s,classical_musicnet_2078,classical,discovery,180.0,2.411456345188112,0.6910616735574235,-2.2400356558487284,0.09621244119007201,12.7026008509429,classical
classical_musicnet_2078__300s,classical_musicnet_2078,classical,discovery,300.0,0.8348978427758923,0.4193879180945041,-2.9725070294803952,0.04868348247606801,18.460274871044078,classical
classical_musicnet_2079__180s,classical_musicnet_2079,classical,discovery,180.0,0.7883590338392253,0.5920045445913331,-1.668570482826589,0.15861486366888808,8.955688592722465,classical
classical_musicnet_2079__300s,classical_musicnet_2079,classical,discovery,300.0,0.7810633164076027,0.6515482402126245,-2.391388725439979,0.08383171062975553,13.804374722052541,classical
classical_musicnet_2080__180s,classical_musicnet_2080,classical,discovery,180.0,0.7447043956933399,0.549678813903276,-3.035713489637413,0.04583828592098212,19.007408374325646,classical
classical_musicnet_2080__300s,classical_musicnet_2080,classical,discovery,300.0,1.58097993478833,0.5551751630383565,-0.8930311025294786,0.2904847105585266,4.915382856337922,classical
classical_musicnet_2081__180s,classical_musicnet_2081,classical,discovery,180.0,0.6706497833344797,0.5529965115280002,-1.829311174284393,0.13832035236451531,9.943593166371944,classical
classical_musicnet_2081__300s,classical_musicnet_2081,classical,discovery,300.0,0.7336343764191362,0.617520880723893,-2.0586758948419517,0.11317866146183021,11.442734147517829,classical
classical_musicnet_2082__180s,classical_musicnet_2082,classical,discovery,180.0,0.7064040126721177,0.9044591110032912,-2.0730198388162924,0.1117469390556994,11.539982732234607,classical
classical_musicnet_2082__300s,classical_musicnet_2082,classical,discovery,300.0,1.606597020784477,0.47055739453025297,-0.8516046352477356,0.29909635703340426,4.733408561736975,classical
classical_musicnet_2083__180s,classical_musicnet_2083,classical,discovery,180.0,0.620020750064436,0.39422248085665496,-1.8703895895623466,0.13349665021069645,10.204349543856818,classical
classical_musicnet_2083__300s,classical_musicnet_2083,classical,discovery,300.0,0.8405368424715585,0.8239851343962572,-2.9049796067534603,0.05190795159018719,17.88456598114107,classical
classical_musicnet_2112__180s,classical_musicnet_2112,classical,holdout,180.0,0.6856936959704492,0.3529894811264543,-3.499953100736664,0.029313565206673695,23.270862835226136,classical
classical_musicnet_2112__300s,classical_musicnet_2112,classical,holdout,300.0,1.0610623019811547,0.09041935370148896,-3.2447484781088978,0.03751605257016808,20.873784022300256,classical
classical_musicnet_2113__180s,classical_musicnet_2113,classical,holdout,180.0,0.7127758868380473,0.2938224929174233,-1.8807966710544768,0.1322973930601243,10.270947128786378,classical
classical_musicnet_2113__300s,classical_musicnet_2113,classical,holdout,300.0,0.8210161090482111,0.21722025738930945,-3.7738870890781193,0.022447185338827377,25.9888113585698,classical
classical_musicnet_2114__180s,classical_musicnet_2114,classical,holdout,180.0,0.7434765385197657,0.6788395053677797,-4.836286143257078,0.007873982654014958,37.949558681319495,classical
classical_musicnet_2114__300s,classical_musicnet_2114,classical,holdout,300.0,0.8515071877197612,0.19345774534854537,-3.7944526817079898,0.022000312736555297,26.198917887043752,classical
classical_musicnet_2116__180s,classical_musicnet_2116,classical,holdout,180.0,0.7552754837610758,0.4368584967287008,-4.986775071678577,0.006781347051875776,39.82632590519477,classical
classical_musicnet_2116__300s,classical_musicnet_2116,classical,holdout,300.0,1.6165637669953223,0.7729778565784191,-3.9572701991990487,0.018756685642857557,27.89218640165914,classical
classical_musicnet_2117__180s,classical_musicnet_2117,classical,holdout,180.0,0.9315186838124849,0.4409146856930034,-2.5348986611071718,0.07344758047945693,14.891370312080507,classical
classical_musicnet_2117__300s,classical_musicnet_2117,classical,holdout,300.0,1.1181773562853787,0.3736319395307259,-2.076797392250736,0.11137253033194355,11.565662115774886,classical
classical_musicnet_2118__180s,classical_musicnet_2118,classical,holdout,180.0,0.723927686833883,0.5256222297300664,-3.6615318586124936,0.025049523802055,24.855878595776456,classical
classical_musicnet_2118__300s,classical_musicnet_2118,classical,holdout,300.0,0.8781169469085304,1.0046361786939146,-3.494646025651691,0.02946495201177636,23.219688464349513,classical
classical_musicnet_2119__180s,classical_musicnet_2119,classical,holdout,180.0,0.7164166703168103,0.5539568221092509,-3.8269088891968224,0.021312703245360397,26.532224699929927,classical
classical_musicnet_2119__300s,classical_musicnet_2119,classical,holdout,300.0,0.791706930216704,0.34953629621176624,-3.0257102025571223,0.04627779413229509,18.92028480519955,classical
classical_musicnet_2127__180s,classical_musicnet_2127,classical,holdout,180.0,0.7218026796196114,0.4517861842939117,-1.94521417535041,0.12507614199320974,10.687991281410765,classical
classical_musicnet_2127__300s,classical_musicnet_2127,classical,holdout,300.0,0.7816488664102027,0.5140149323983905,-2.699829163851911,0.0629834374599573,16.191484176429054,classical
classical_musicnet_2131__180s,classical_musicnet_2131,classical,holdout,180.0,0.9031605265627296,0.5202930156413764,-2.1205704478426948,0.1071135005127959,11.865307861774555,classical
classical_musicnet_2131__300s,classical_musicnet_2131,classical,holdout,300.0,0.8099962321819385,0.4367053448585466,-1.762360080850759,0.14649500267767443,9.5258356438479,classical
classical_musicnet_2138__180s,classical_musicnet_2138,classical,holdout,180.0,0.6746339540177981,0.20216481044258688,-1.931968720526655,0.12653283262185183,10.601561334464082,classical
classical_musicnet_2138__300s,classical_musicnet_2138,classical,holdout,300.0,0.7061840925253586,0.4352347471889183,-2.6417815828304563,0.06649735755348735,15.727702516226056,classical
classical_musicnet_2140__180s,classical_musicnet_2140,classical,holdout,180.0,1.4826470466912676,0.4338661130100885,-3.0287376170404468,0.04614435907157173,18.946630934716694,classical
classical_musicnet_2140__300s,classical_musicnet_2140,classical,holdout,300.0,0.8842945456672939,0.32659340750244986,-3.0278379462679577,0.04618397430512776,18.93879961921281,classical
classical_musicnet_2147__180s,classical_musicnet_2147,classical,holdout,180.0,0.7354814459876766,0.9556789015963918,-3.9888976645329297,0.018183360272344365,28.227255303180133,classical
classical_musicnet_2147__300s,classical_musicnet_2147,classical,holdout,300.0,0.7561821576059133,0.7359252515198248,-3.8650413197930407,0.020531670244324174,26.926514815870018,classical
classical_musicnet_2148__180s,classical_musicnet_2148,classical,holdout,180.0,0.821881549584493,0.6048278196746457,-5.185291464597849,0.00556713813445769,42.37133323456424,classical
classical_musicnet_2148__300s,classical_musicnet_2148,classical,holdout,300.0,0.9810790616323386,0.3642638814808036,-4.640272560725004,0.009562736825070443,35.5729667055759,classical
classical_musicnet_2149__180s,classical_musicnet_2149,classical,holdout,180.0,0.7223518354893832,0.49105395210614766,-3.730289722034785,0.0234240392644964,25.546200113216933,classical
classical_musicnet_2149__300s,classical_musicnet_2149,classical,holdout,300.0,0.8905110070222616,0.3352527388492357,-3.702588440739525,0.02406615182919117,25.266944923024177,classical
classical_musicnet_2150__180s,classical_musicnet_2150,classical,holdout,180.0,0.8542871227264008,0.43632921875512276,-3.7396284010924434,0.023211361764428656,25.640688760181273,classical
classical_musicnet_2150__300s,classical_musicnet_2150,classical,holdout,300.0,0.7661551504266334,0.28800446751221476,-2.8317057108196964,0.0556347127936263,17.270182267672883,classical
classical_musicnet_2151__180s,classical_musicnet_2151,classical,holdout,180.0,0.8196921800351242,0.584954356953457,-2.7585330566535897,0.05960654033104288,16.6673633244531,classical
classical_musicnet_2151__300s,classical_musicnet_2151,classical,holdout,300.0,0.925326566093206,0.41813865804802824,-3.3485002574978777,0.03394430949529691,21.832587320274733,classical
classical_musicnet_2154__180s,classical_musicnet_2154,classical,holdout,180.0,0.7171162212948062,0.3326841655480589,-3.5547689565146086,0.027793421464402522,23.80272970390608,classical
classical_musicnet_2154__300s,classical_musicnet_2154,classical,holdout,300.0,0.7829053197693528,0.2656211156143564,-3.3519452899279063,0.03383152087262896,21.86479326067885,classical
classical_musicnet_2155__180s,classical_musicnet_2155,classical,holdout,180.0,0.7703318677751528,0.3661274149048174,-2.590384954629323,0.06975979773621478,15.322684911308825,classical
classical_musicnet_2155__300s,classical_musicnet_2155,classical,holdout,300.0,1.7056601422963544,0.9834160357984486,-1.9475585718151314,0.12481981518422794,10.703325610820137,classical
classical_musicnet_2156__180s,classical_musicnet_2156,classical,holdout,180.0,0.6664231503575248,0.21502779977282915,-3.7539585021434103,0.02288867147555293,25.786019733298208,classical
classical_musicnet_2156__300s,classical_musicnet_2156,classical,holdout,300.0,0.7913438564406642,0.40376158842995535,-4.663002840169006,0.00934983429274511,35.8446241339937,classical
