track_id,group,source_url,license_type,downloaded_at,redistribution_allowed,notes
classical_musicnet_1727,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Piano Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1728,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Piano Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1729,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Piano Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1730,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Piano Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1739,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Piano Trio; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1742,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Viola Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1763,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Solo Piano; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1764,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Solo Piano; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1765,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Solo Piano; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1766,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Solo Piano; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1805,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: String Quartet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1807,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: String Quartet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1811,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Clarinet Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1812,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Clarinet Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1813,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Clarinet Quintet; license: https://creativecommons.org/licenses/by/4.0/
classical_musicnet_1817,classical,https://zenodo.org/records/5120004,Creative Commons Attribution 4.0 International,2026-07-17,true,musicnet-zenodo-5120004; MusicNet classical metadata: Pairs Clarinet-Horn-Bassoon; license: https://creativecommons.org/licenses/by/4.0/
