track_id,group,relative_path,sha256,duration_seconds,sample_rate,channels,artist_key,album_key,composer_key,instrumental,restricted
classical_musicnet_1727,classical,classical_music/classical_musicnet_1727.wav,eecf99ae6b4db4789b298ea451035620cc2258e062e2c9d389c719d17d41fdd8,447,,,,musicnet_schubert_op114,schubert,true,false
classical_musicnet_1728,classical,classical_music/classical_musicnet_1728.wav,373becca8cba9df8a62331bb143c99fd3e199b84f2e779ea3d67c08b444866b3,251,,,,musicnet_schubert_op114,schubert,true,false
classical_musicnet_1729,classical,classical_music/classical_musicnet_1729.wav,e0aa5b321f0436e46be2a53607979070b7100f1f919d915c56f4dbfe36c86eeb,444,,,,musicnet_schubert_op114,schubert,true,false
classical_musicnet_1730,classical,classical_music/classical_musicnet_1730.wav,15d8a9b95c9eb299d49ab9b3f31661f44ad0893d4e55df778387cb205c83af3b,368,,,,musicnet_schubert_op114,schubert,true,false
classical_musicnet_1739,classical,classical_music/classical_musicnet_1739.wav,79a44a1a96f485ce92c990880f8e2856e73c3dcee02801d462e37731e27b40f6,490,,,,musicnet_schubert_op99,schubert,true,false
classical_musicnet_1742,classical,classical_music/classical_musicnet_1742.wav,95032b6edd3e80ef96ea66aab1f275badaa664f9d455f6fa35e4bced79fe162f,924,,,,musicnet_schubert_op163,schubert,true,false
classical_musicnet_1763,classical,classical_music/classical_musicnet_1763.wav,006514e95d94b049863869b37ea99ee6c9a1b75a5643ba839a70704fd596de33,600,,,,musicnet_schubert_op142,schubert,true,false
classical_musicnet_1764,classical,classical_music/classical_musicnet_1764.wav,ce822e0fa273224b903dbf9dc94363c991ece78d00117c2652e5b66dea7f4c27,438,,,,musicnet_schubert_op142,schubert,true,false
classical_musicnet_1765,classical,classical_music/classical_musicnet_1765.wav,1a896063cce35fcdc3ac2187b48a776972286e215abcaf3242b9c02257665225,676,,,,musicnet_schubert_op142,schubert,true,false
classical_musicnet_1766,classical,classical_music/classical_musicnet_1766.wav,936022a05ddb5222273ab7b366a2ac238b152bb9174d62c240644654d54aceed,427,,,,musicnet_schubert_op142,schubert,true,false
classical_musicnet_1805,classical,classical_music/classical_musicnet_1805.wav,8bb5796a780773cc6101524e015858cb38d91855390a52e7c7e606385f55be79,356,,,,musicnet_mozart_k387,mozart,true,false
classical_musicnet_1807,classical,classical_music/classical_musicnet_1807.wav,7be4df7dfe00f2c36ba8bf94058643d08157b557389ce52422ea85dd1a356812,444,,,,musicnet_mozart_k387,mozart,true,false
classical_musicnet_1811,classical,classical_music/classical_musicnet_1811.wav,061386d7ea62c5b83d91a392e0e5ebc9cb34e9d3485e431aed5086d4baf3ba15,489,,,,musicnet_mozart_k581,mozart,true,false
classical_musicnet_1812,classical,classical_music/classical_musicnet_1812.wav,335a9b97b6445e017c1a81ea9e66a6c805caa605a92c6f925caa6e4a50d7fc02,466,,,,musicnet_mozart_k581,mozart,true,false
classical_musicnet_1813,classical,classical_music/classical_musicnet_1813.wav,b0d5d8baad12dd9b634481f42aa2052fb9c4aba4483febc730223cc5e822c683,591,,,,musicnet_mozart_k581,mozart,true,false
classical_musicnet_1817,classical,classical_music/classical_musicnet_1817.wav,7a9452c4966108c8bf601cadb1e4ea03389b392276a0f28c3101560a5074df9f,250,,,,musicnet_mozart_k375,mozart,true,false
classical_musicnet_1818,classical,classical_music/classical_musicnet_1818.wav,5cd428f6b1023ad1725f34e134e0460fff2359377bd44595c016695b737a8db3,407,,,,musicnet_mozart_k375,mozart,true,false
classical_musicnet_1819,classical,classical_music/classical_musicnet_1819.wav,15f460aede5f09a96126ae2948033a88594a5c33abd18fa999b76c932974e0d8,177,,,,musicnet_mozart_k375,mozart,true,false
classical_musicnet_1828,classical,classical_music/classical_musicnet_1828.wav,f051ed22b2f0ecd226f52ee13d586c088e2440f9c68469ab3713292df1183d10,265,,,,musicnet_mozart_k542,mozart,true,false
classical_musicnet_1829,classical,classical_music/classical_musicnet_1829.wav,f0704a8ec83d0792277f298697402739009ad380856e8879f3d68eb5558cc81c,421,,,,musicnet_mozart_k542,mozart,true,false
classical_musicnet_1835,classical,classical_music/classical_musicnet_1835.wav,a279e6ec2eb200f88a86c6d7d66b70a4f93a62099ba3519cb674b66746f32ea9,236,,,,musicnet_mozart_k590,mozart,true,false
classical_musicnet_1859,classical,classical_music/classical_musicnet_1859.wav,83ddb43f31e4230a7a8f0ba4b864d5b9d03ab637be532c2af9bafc8a3f742eb5,392,,,,musicnet_mozart_k464,mozart,true,false
classical_musicnet_1872,classical,classical_music/classical_musicnet_1872.wav,93a44dd5200707121c592a33d0565f25936e84765fd8312b1db58f829bcd9f33,509,,,,musicnet_mozart_k502,mozart,true,false
classical_musicnet_1873,classical,classical_music/classical_musicnet_1873.wav,ea5e75a4420bcadf7273fe5c7afcbb3e81257c48ce265441f53b25c396c6b009,366,,,,musicnet_mozart_k502,mozart,true,false
classical_musicnet_1876,classical,classical_music/classical_musicnet_1876.wav,12b6274207f59f2e0fe69f3ed9738db2cde5ffcd8feb2982b10441e0e42591a5,356,,,,musicnet_mozart_k496,mozart,true,false
classical_musicnet_1893,classical,classical_music/classical_musicnet_1893.wav,6fe4449530ee529c35cee4d314dba39d2ae07078ff55fd8ee68cd161144e2278,325,,,,musicnet_mozart_k564,mozart,true,false
