segment_id,track_id,group,split,scale_seconds,modality,scale_bars,scale_label,eligible_scales,effective_seconds,h1_max_persistence,h1_total_persistence,h1_dominance,h1_gap,h1_count,h1_prominent_count,distance_scale,h1_surrogate_excess,null_h1_max_median,null_h1_dominance_median,null_h1_gap_median,surrogate_percentile,period_seconds,period_frames,delay_frames,embedding_span_seconds,available_cycles,point_count,landmark_count
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic,0,multiscale_mean,4,299.5,0.09469319880008698,1.8843767195940018,0.050415377752901225,0.013852953910827637,64.5,0.5,8.726293724204993,0.02003583312034607,0.0746573656797409,0.037792056478403835,0.005104556679725647,0.875,,,,,,550.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic,4,4_bars,1,299.5,0.10807156562805176,1.752087652683258,0.061681597642985565,0.01890963315963745,57.0,1.0,8.673797328182355,0.03041696548461914,0.07765460014343262,0.03788253463570604,0.0035927891731262207,1.0,7.43017578125,15.0,2.0,7.0,39.93333333333333,585.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic,8,8_bars,1,299.5,0.07512897253036499,1.6380347609519958,0.04586531026160971,0.0048735737800598145,56.0,0.0,8.677699347500752,0.0029988884925842285,0.07213008403778076,0.03900415106841011,0.004229128360748291,0.6,14.8603515625,30.0,4.0,14.0,19.966666666666665,571.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic,16,16_bars,1,299.5,0.107277512550354,2.2090530395507812,0.04856266944689081,0.024154961109161377,73.0,1.0,8.788473087581654,0.03157365322113037,0.07570385932922363,0.03541784002363761,0.0051310062408447266,1.0,29.720703125,59.0,7.0,24.5,10.152542372881356,550.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic,32,32_bars,1,299.5,0.08829474449157715,1.938331425189972,0.04555193366011881,0.007473647594451904,72.0,0.0,8.765205133555213,0.015153825283050537,0.07314091920852661,0.038863700185861584,0.00746530294418335,0.9,59.44140625,119.0,15.0,52.5,5.033613445378151,494.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,rhythm,0,multiscale_mean,4,299.5,0.09560485184192657,1.1984740197658539,0.08220054132614638,0.01691131293773651,42.0,0.25,12.409574305702034,0.009047627449035645,0.08655722439289093,0.06898014371693645,0.009943008422851562,0.725,,,,,,550.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,rhythm,4,4_bars,1,299.5,0.08950108289718628,0.9977750182151794,0.08970066524343921,0.00444185733795166,39.0,0.0,12.626023014819463,0.0035463571548461914,0.08595472574234009,0.06817365068085769,0.008015751838684082,0.6,7.43017578125,15.0,2.0,7.0,39.93333333333333,585.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,rhythm,8,8_bars,1,299.5,0.09830999374389648,1.2078834176063538,0.08139030001646688,0.014086484909057617,39.0,0.0,12.473369763723262,0.011303722858428955,0.08700627088546753,0.0756615264427089,0.009227514266967773,0.7,14.8603515625,30.0,4.0,14.0,19.966666666666665,571.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,rhythm,16,16_bars,1,299.5,0.09318238496780396,1.5482404232025146,0.060185991510967936,0.004708647727966309,45.0,0.0,12.726727247293578,0.006553530693054199,0.08662885427474976,0.0637182432577153,0.009719789028167725,0.7,29.720703125,59.0,7.0,24.5,10.152542372881356,550.0,64.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,rhythm,32,32_bars,1,299.5,0.10142594575881958,1.0399972200393677,0.09752520853371151,0.04440826177597046,45.0,1.0,11.81217719697183,0.014786899089813232,0.08663904666900635,0.0683671544864639,0.01280897855758667,0.9,59.44140625,119.0,15.0,52.5,5.033613445378151,494.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,acoustic,0,multiscale_mean,4,299.5,0.12081225216388702,1.6758819073438644,0.0716443965856177,0.024323150515556335,55.0,1.25,9.747347746016803,0.03880801796913147,0.08200423419475555,0.05310247423913145,0.007020384073257446,0.9,,,,,,536.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,acoustic,4,4_bars,1,299.5,0.10744529962539673,1.8256765007972717,0.05885232108671796,0.01936483383178711,53.0,1.0,9.499484970281255,0.01985114812850952,0.08759415149688721,0.06346014558231176,0.004974186420440674,0.9,9.65966796875,19.0,2.0,7.0,31.526315789473685,585.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,acoustic,8,8_bars,1,299.5,0.08470851182937622,1.3671193718910217,0.0619613133798302,0.01701265573501587,53.0,0.0,10.02258791389243,0.007862567901611328,0.07684594392776489,0.05276856288475342,0.004151403903961182,0.7,19.3193359375,39.0,5.0,17.5,15.35897435897436,564.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,acoustic,16,16_bars,1,299.5,0.16775357723236084,1.760147213935852,0.09530656066957509,0.0418398380279541,58.0,2.0,9.873238721819817,0.08509403467178345,0.08265954256057739,0.04851607564633921,0.010714948177337646,1.0,38.638671875,77.0,10.0,35.0,7.779220779220779,529.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,acoustic,32,32_bars,1,299.5,0.1233416199684143,1.7505845427513123,0.07045739120634759,0.01907527446746826,56.0,2.0,9.59407937807371,0.04242432117462158,0.08091729879379272,0.0476651128431214,0.008240997791290283,1.0,77.27734375,155.0,19.0,66.5,3.8645161290322583,466.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,rhythm,0,multiscale_mean,4,299.5,0.09496553242206573,2.3022214621305466,0.042549414833834336,0.004209846258163452,67.0,0.5,9.299453915366998,-0.003005892038345337,0.09797142446041107,0.044463613331972685,0.010774627327919006,0.5,,,,,,536.0,64.0
classical_musicnet_1739__300s,classical_musicnet_1739,classical,discovery,300.0,rhythm,4,4_bars,1,299.5,0.10343104600906372,2.421308994293213,0.04271699574603676,0.00436776876449585,68.0,1.0,9.252378949582873,0.0021913647651672363,0.10123968124389648,0.04737439731468901,0.009772539138793945,0.7,9.65966796875,19.0,2.0,7.0,31.526315789473685,585.0,64.0
