segment_id,track_id,group,split,scale_seconds,representation,point_count,distance_scale,h0_total_persistence,h0_max_persistence,h0_q75_persistence,h0_persistence_entropy,h1_count,h1_prominent_count,h1_total_persistence,h1_max_persistence,h1_mean_persistence,h1_persistence_entropy
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,acoustic_novelty_delay,24,2.768833597165262,10.362354084849358,0.8045434355735779,0.5666324198246002,0.9736863456700537,4.0,0.0,0.09457129240036011,0.05280768871307373,0.023642823100090027,0.8203978771276851
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,acoustic_pca,24,7.169652172671331,12.52800378203392,0.850786566734314,0.625001460313797,0.9875128984110955,5.0,0.0,0.2812662124633789,0.07784020900726318,0.056253242492675784,0.9760098551253198
classical_musicnet_1727__180s,classical_musicnet_1727,classical,discovery,180.0,rhythm,24,2.685845413902454,9.891079299151897,0.9674972295761108,0.627155989408493,0.949479182395893,3.0,0.0,0.030270487070083618,0.01214224100112915,0.01009016235669454,0.9847350837152792
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,acoustic_novelty_delay,24,2.422088444315893,11.880305036902428,1.2372347116470337,0.5766873061656952,0.9667713439403742,6.0,0.0,0.2253684401512146,0.061550796031951904,0.0375614066918691,0.9360740508057301
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,acoustic_pca,24,5.73133861578823,12.784810781478882,0.7887455821037292,0.6289151608943939,0.9931343904906986,7.0,2.0,0.39957982301712036,0.14089757204055786,0.05708283185958862,0.7955986555182905
classical_musicnet_1727__300s,classical_musicnet_1727,classical,discovery,300.0,rhythm,24,2.1839496774461717,10.42275919020176,1.8493423461914062,0.4842435419559479,0.9319385933149331,3.0,0.0,0.13248786330223083,0.07897207140922546,0.044162621100743614,0.8380097014688301
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,acoustic_novelty_delay,24,2.350498404622825,10.531636752188206,0.8897245526313782,0.6046746671199799,0.9699493745896967,4.0,2.0,0.35189151763916016,0.1719995141029358,0.08797287940979004,0.6745941639116925
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,acoustic_pca,24,8.659029017895048,11.966774985194206,1.0734837055206299,0.5762179493904114,0.9857269952739294,8.0,1.0,0.4067925810813904,0.10785043239593506,0.0508490726351738,0.8947104416460883
classical_musicnet_1728__180s,classical_musicnet_1728,classical,discovery,180.0,rhythm,24,2.7631274830719468,10.776083558797836,1.0511019229888916,0.6010843515396118,0.9769684246665641,5.0,1.0,0.23913607001304626,0.13878190517425537,0.04782721400260925,0.6567299316285203
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,acoustic_novelty_delay,24,2.4122255043032457,13.546294525265694,1.7899103164672852,0.560402899980545,0.9233167922909191,6.0,1.0,0.29785385727882385,0.10865110158920288,0.04964230954647064,0.7801647530143495
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,acoustic_pca,24,9.887408823150594,13.445800095796585,2.1931471824645996,0.6738819181919098,0.9564901060383468,6.0,1.0,0.3298770487308502,0.11064714193344116,0.05497950812180837,0.9235885220214404
classical_musicnet_1728__300s,classical_musicnet_1728,classical,discovery,300.0,rhythm,24,2.45892068726464,10.288014709949493,1.460168480873108,0.5497618913650513,0.9494215414778691,3.0,1.0,0.15136826038360596,0.12057316303253174,0.05045608679453532,0.5680262965957744
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,acoustic_novelty_delay,24,2.478184426682267,12.112627759575844,1.531261682510376,0.5430328845977783,0.9524441580662601,2.0,0.0,0.07104939222335815,0.06810879707336426,0.03552469611167908,0.24862050640234365
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,acoustic_pca,24,5.667596212300716,12.74520081281662,0.7615764737129211,0.6220552027225494,0.9943831895063076,9.0,0.0,0.28040164709091187,0.060803353786468506,0.031155738565656874,0.9570349208666236
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,rhythm,24,2.2468169639090387,11.427941799163818,1.549396276473999,0.5349563658237457,0.9489568869374494,3.0,1.0,0.2580210566520691,0.10568565130233765,0.08600701888402303,0.9884032480028926
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic_novelty_delay,24,2.678771222344773,12.237683475017548,1.3727649450302124,0.6382226347923279,0.9628002646995418,5.0,0.0,0.18866705894470215,0.08589214086532593,0.03773341178894043,0.8039291349477171
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,acoustic_pca,24,5.989345011225847,13.100439488887787,0.7676820755004883,0.6617589294910431,0.99310761973482,5.0,2.0,0.4667357802391052,0.18754416704177856,0.09334715604782104,0.8472406430286119
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,rhythm,24,2.4604670148863086,10.714011073112488,1.2940833568572998,0.6121408343315125,0.9601160651780253,6.0,0.0,0.18688231706619263,0.09100461006164551,0.031147052844365437,0.7404247457871156
