segment_id,track_id,group,split,scale_seconds,representation,method,sequence_points,synthetic_loop_score,shuffled_score,loop_score,path_h1_cycle_strength,path_h1_betti_max,path_h1_betti_auc,phase_edge_q25,phase_edge_mean,dominant_period_seconds,lag_peak_strength,h1_max_persistence,h1_best_persistence
classical_musicnet_2075__180s,classical_musicnet_2075,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.34508455991470416,0.34508455991470416,1.0,0.275,0.3472228865832155,0.36158386787834523,58.0,0.12685279568896912,0.0,0.0
classical_musicnet_2075__180s,classical_musicnet_2075,classical,discovery,180.0,path_chroma_phase,phase_lifted_path_homology,97,,,0.3671088817798393,0.3671088817798393,1.0,0.325,0.3718024118004769,0.3877343728904572,33.43675231933594,0.047721317363175864,0.0,0.0
classical_musicnet_2075__180s,classical_musicnet_2075,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3210082415884015,0.3210082415884015,1.0,0.275,0.3334622101660514,0.35861972938922926,46.0,0.08694546903490186,0.0,0.0
classical_musicnet_2075__300s,classical_musicnet_2075,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.36641421127573176,0.36641421127573176,1.0,0.325,0.37052297884250535,0.38927720616034556,16.0,0.09462636780570088,0.0,0.0
classical_musicnet_2075__300s,classical_musicnet_2075,classical,discovery,300.0,path_chroma_phase,phase_lifted_path_homology,162,,,0.3585977125707616,0.3585977125707616,1.0,0.325,0.36143689534957735,0.3727157232479798,22.291259765625,0.026957641178693037,0.0,0.0
classical_musicnet_2075__300s,classical_musicnet_2075,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.34341692707524457,0.34341692707524457,1.0,0.275,0.35292944220446437,0.377309091366493,42.0,0.09234802565895972,0.0,0.0
classical_musicnet_2076__180s,classical_musicnet_2076,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.33145652984413126,0.33145652984413126,1.0,0.275,0.33372352545761336,0.36263599565265014,46.0,0.09222440486939165,0.0,0.0
classical_musicnet_2076__180s,classical_musicnet_2076,classical,discovery,180.0,path_chroma_phase,phase_lifted_path_homology,99,,,0.34659030419532455,0.34659030419532455,1.0,0.275,0.34837309242723374,0.362650214885315,56.1458740234375,0.041527956420520984,0.0,0.0
classical_musicnet_2076__180s,classical_musicnet_2076,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3563925977974042,0.3563925977974042,1.0,0.325,0.3603339131798441,0.384436868775011,16.0,0.0951672823869727,0.0,0.0
classical_musicnet_2076__300s,classical_musicnet_2076,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,123,,,0.3446526085029471,0.3446526085029471,1.0,0.275,0.3452430858894707,0.37306221294717495,46.0,0.08796249642934395,0.0,0.0
classical_musicnet_2076__300s,classical_musicnet_2076,classical,discovery,300.0,path_chroma_phase,phase_lifted_path_homology,150,,,0.348158455193137,0.348158455193137,1.0,0.275,0.357796419331709,0.3775757866489435,19.5047607421875,0.033350665169870286,0.0,0.0
classical_musicnet_2076__300s,classical_musicnet_2076,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,123,,,0.33967919599582697,0.33967919599582697,1.0,0.275,0.3456542370794452,0.3705045993440164,24.0,0.08533886603993968,0.0,0.0
classical_musicnet_2077__180s,classical_musicnet_2077,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,,,0.3440397953455038,0.3440397953455038,1.0,0.275,0.34579661991870314,0.36111041559204354,30.0,0.1290306698270649,0.0,0.0
classical_musicnet_2077__180s,classical_musicnet_2077,classical,discovery,180.0,path_chroma_phase,phase_lifted_path_homology,100,,,0.3557528493566542,0.3557528493566542,1.0,0.325,0.3580493558149116,0.378164107201552,19.411972045898438,0.02428628679654088,0.0,0.0
classical_musicnet_2077__180s,classical_musicnet_2077,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,,,0.3092529851287827,0.3092529851287827,1.0,0.275,0.31267992757314594,0.3329001097586434,30.0,0.1180330919093846,0.0,0.0
classical_musicnet_2077__300s,classical_musicnet_2077,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,124,,,0.3517957333963513,0.3517957333963513,1.0,0.325,0.35651987184916356,0.36647157468241853,30.0,0.1177609713880381,0.0,0.0
