segment_id,track_id,group,split,scale_seconds,representation,modality,metric,method,loop_score,synthetic_loop_score,shuffled_score,h1_max_lifetime,h1_total_persistence,h1_dominant_persistence,h1_normalized_auc,h1_interval_count,h1_betti_max,widest_cycle_baseline,phase_recurrence_mean,phase_recurrence_q25,transition_concentration,dominant_period_seconds,lag_peak_strength,graph_vertices,graph_edges,complete_cycles
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,phase_state_acoustic__h1_dominant_persistence,acoustic,h1_dominant_persistence,phase_state_persistent_path_homology,0.18749999671874998,1.0,0.19975245935904587,0.21428571,0.35714285,0.18749999671874998,0.09132400751643158,3.0,2.0,0.2857142857142857,0.4337477504165045,0.33979857878384756,0.23748473748473747,12.0,0.17458172782538983,18.0,53.0,14.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,phase_state_acoustic__h1_max_lifetime,acoustic,h1_max_lifetime,phase_state_persistent_path_homology,0.21428571,1.0,0.22222222,0.21428571,0.35714285,0.18749999671874998,0.09132400751643158,3.0,2.0,0.2857142857142857,0.4337477504165045,0.33979857878384756,0.23748473748473747,12.0,0.17458172782538983,18.0,53.0,14.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,phase_state_acoustic__h1_normalized_auc,acoustic,h1_normalized_auc,phase_state_persistent_path_homology,0.09132400751643158,0.4082482904638631,0.08343665445785305,0.21428571,0.35714285,0.18749999671874998,0.09132400751643158,3.0,2.0,0.2857142857142857,0.4337477504165045,0.33979857878384756,0.23748473748473747,12.0,0.17458172782538983,18.0,53.0,14.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,phase_state_rhythm__h1_dominant_persistence,rhythm,h1_dominant_persistence,phase_state_persistent_path_homology,0.3195413042049703,1.0,0.23586081765881453,0.33333333,0.37649528,0.3195413042049703,0.0995316,2.0,2.0,0.3333333333333333,0.4427934064088381,0.31313946131541787,0.2743055555555556,18.0,0.22746616717039259,16.0,34.0,9.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,phase_state_rhythm__h1_max_lifetime,rhythm,h1_max_lifetime,phase_state_persistent_path_homology,0.33333333,1.0,0.4,0.33333333,0.37649528,0.3195413042049703,0.0995316,2.0,2.0,0.3333333333333333,0.4427934064088381,0.31313946131541787,0.2743055555555556,18.0,0.22746616717039259,16.0,34.0,9.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,phase_state_rhythm__h1_normalized_auc,rhythm,h1_normalized_auc,phase_state_persistent_path_homology,0.0995316,0.4082482904638631,0.27732489309597746,0.33333333,0.37649528,0.3195413042049703,0.0995316,2.0,2.0,0.3333333333333333,0.4427934064088381,0.31313946131541787,0.2743055555555556,18.0,0.22746616717039259,16.0,34.0,9.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,phase_state_acoustic__h1_dominant_persistence,acoustic,h1_dominant_persistence,phase_state_persistent_path_homology,0.1923076898224852,,,0.20833333,0.29166666,0.1923076898224852,0.07792692438078826,3.0,2.0,0.20833333333333334,0.42930641618975207,0.3427528247574163,0.20551529790660228,12.0,0.1687554150472086,18.0,51.0,24.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,phase_state_acoustic__h1_max_lifetime,acoustic,h1_max_lifetime,phase_state_persistent_path_homology,0.20833333,,,0.20833333,0.29166666,0.1923076898224852,0.07792692438078826,3.0,2.0,0.20833333333333334,0.42930641618975207,0.3427528247574163,0.20551529790660228,12.0,0.1687554150472086,18.0,51.0,24.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,phase_state_acoustic__h1_normalized_auc,acoustic,h1_normalized_auc,phase_state_persistent_path_homology,0.07792692438078826,,,0.20833333,0.29166666,0.1923076898224852,0.07792692438078826,3.0,2.0,0.20833333333333334,0.42930641618975207,0.3427528247574163,0.20551529790660228,12.0,0.1687554150472086,18.0,51.0,24.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,phase_state_rhythm__h1_dominant_persistence,rhythm,h1_dominant_persistence,phase_state_persistent_path_homology,0.21439702064295124,,,0.25,0.41606098,0.21439702064295124,0.1121253725,3.0,2.0,0.26666666666666666,0.4542926067725355,0.31584237875564125,0.2640625,18.0,0.12549637840212235,16.0,42.0,16.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,phase_state_rhythm__h1_max_lifetime,rhythm,h1_max_lifetime,phase_state_persistent_path_homology,0.25,,,0.25,0.41606098,0.21439702064295124,0.1121253725,3.0,2.0,0.26666666666666666,0.4542926067725355,0.31584237875564125,0.2640625,18.0,0.12549637840212235,16.0,42.0,16.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,phase_state_rhythm__h1_normalized_auc,rhythm,h1_normalized_auc,phase_state_persistent_path_homology,0.1121253725,,,0.25,0.41606098,0.21439702064295124,0.1121253725,3.0,2.0,0.26666666666666666,0.4542926067725355,0.31584237875564125,0.2640625,18.0,0.12549637840212235,16.0,42.0,16.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,phase_state_acoustic__h1_dominant_persistence,acoustic,h1_dominant_persistence,phase_state_persistent_path_homology,0.15662650382251897,1.0,0.1782763498201538,0.21428571,0.5824175699999999,0.15662650382251897,0.1482852087639709,5.0,5.0,0.21428571428571427,0.42742027263996407,0.30926729904287514,0.24816849816849812,12.0,0.20722895779227546,18.0,49.0,14.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,phase_state_acoustic__h1_max_lifetime,acoustic,h1_max_lifetime,phase_state_persistent_path_homology,0.21428571,1.0,0.33333333,0.21428571,0.5824175699999999,0.15662650382251897,0.1482852087639709,5.0,5.0,0.21428571428571427,0.42742027263996407,0.30926729904287514,0.24816849816849812,12.0,0.20722895779227546,18.0,49.0,14.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,phase_state_acoustic__h1_normalized_auc,acoustic,h1_normalized_auc,phase_state_persistent_path_homology,0.1482852087639709,0.4082482904638631,0.3571861382659076,0.21428571,0.5824175699999999,0.15662650382251897,0.1482852087639709,5.0,5.0,0.21428571428571427,0.42742027263996407,0.30926729904287514,0.24816849816849812,12.0,0.20722895779227546,18.0,49.0,14.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,phase_state_rhythm__h1_dominant_persistence,rhythm,h1_dominant_persistence,phase_state_persistent_path_homology,0.250000004375,1.0,0.10718425537717256,0.28571429,0.42857143,0.250000004375,0.11173595172441517,3.0,3.0,0.35714285714285715,0.42026155048448327,0.3030820425594266,0.24511599511599513,12.0,0.18830171847526644,18.0,47.0,14.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,phase_state_rhythm__h1_max_lifetime,rhythm,h1_max_lifetime,phase_state_persistent_path_homology,0.28571429,1.0,0.25,0.28571429,0.42857143,0.250000004375,0.11173595172441517,3.0,3.0,0.35714285714285715,0.42026155048448327,0.3030820425594266,0.24511599511599513,12.0,0.18830171847526644,18.0,47.0,14.0
classical_musicnet_1763__180s,classical_musicnet_1763,classical,discovery,180.0,phase_state_rhythm__h1_normalized_auc,rhythm,h1_normalized_auc,phase_state_persistent_path_homology,0.11173595172441517,0.4082482904638631,0.40218676193354125,0.28571429,0.42857143,0.250000004375,0.11173595172441517,3.0,3.0,0.35714285714285715,0.42026155048448327,0.3030820425594266,0.24511599511599513,12.0,0.18830171847526644,18.0,47.0,14.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,phase_state_acoustic__h1_dominant_persistence,acoustic,h1_dominant_persistence,phase_state_persistent_path_homology,0.15588829336720192,,,0.25,0.8537124700000001,0.15588829336720192,0.2378196056204539,4.0,4.0,0.25,0.43783375804197333,0.3697879273513568,0.2892156862745098,60.0,0.1373853088297705,18.0,31.0,4.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,phase_state_acoustic__h1_max_lifetime,acoustic,h1_max_lifetime,phase_state_persistent_path_homology,0.25,,,0.25,0.8537124700000001,0.15588829336720192,0.2378196056204539,4.0,4.0,0.25,0.43783375804197333,0.3697879273513568,0.2892156862745098,60.0,0.1373853088297705,18.0,31.0,4.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,phase_state_acoustic__h1_normalized_auc,acoustic,h1_normalized_auc,phase_state_persistent_path_homology,0.2378196056204539,,,0.25,0.8537124700000001,0.15588829336720192,0.2378196056204539,4.0,4.0,0.25,0.43783375804197333,0.3697879273513568,0.2892156862745098,60.0,0.1373853088297705,18.0,31.0,4.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,phase_state_rhythm__h1_dominant_persistence,rhythm,h1_dominant_persistence,phase_state_persistent_path_homology,0.34615384721893494,,,0.375,0.45833333,0.34615384721893494,0.11336766308310213,3.0,2.0,0.375,0.4240558062657008,0.317935885688279,0.2468800322061192,12.0,0.16542190421943048,18.0,50.0,24.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,phase_state_rhythm__h1_max_lifetime,rhythm,h1_max_lifetime,phase_state_persistent_path_homology,0.375,,,0.375,0.45833333,0.34615384721893494,0.11336766308310213,3.0,2.0,0.375,0.4240558062657008,0.317935885688279,0.2468800322061192,12.0,0.16542190421943048,18.0,50.0,24.0
classical_musicnet_1763__300s,classical_musicnet_1763,classical,discovery,300.0,phase_state_rhythm__h1_normalized_auc,rhythm,h1_normalized_auc,phase_state_persistent_path_homology,0.11336766308310213,,,0.375,0.45833333,0.34615384721893494,0.11336766308310213,3.0,2.0,0.375,0.4240558062657008,0.317935885688279,0.2468800322061192,12.0,0.16542190421943048,18.0,50.0,24.0
classical_musicnet_1817__180s,classical_musicnet_1817,classical,discovery,180.0,phase_state_acoustic__h1_dominant_persistence,acoustic,h1_dominant_persistence,phase_state_persistent_path_homology,0.22136709661514342,1.0,0.18154889792992718,0.33333333,0.83912771,0.22136709661514342,0.27931411300748554,4.0,4.0,0.3333333333333333,0.5052124138547966,0.32121039240837324,0.4583333333333333,46.0,0.25279437087740064,12.0,18.0,3.0
classical_musicnet_1817__180s,classical_musicnet_1817,classical,discovery,180.0,phase_state_acoustic__h1_max_lifetime,acoustic,h1_max_lifetime,phase_state_persistent_path_homology,0.33333333,1.0,0.25,0.33333333,0.83912771,0.22136709661514342,0.27931411300748554,4.0,4.0,0.3333333333333333,0.5052124138547966,0.32121039240837324,0.4583333333333333,46.0,0.25279437087740064,12.0,18.0,3.0
classical_musicnet_1817__180s,classical_musicnet_1817,classical,discovery,180.0,phase_state_acoustic__h1_normalized_auc,acoustic,h1_normalized_auc,phase_state_persistent_path_homology,0.27931411300748554,0.4082482904638631,0.1680693360593182,0.33333333,0.83912771,0.22136709661514342,0.27931411300748554,4.0,4.0,0.3333333333333333,0.5052124138547966,0.32121039240837324,0.4583333333333333,46.0,0.25279437087740064,12.0,18.0,3.0
classical_musicnet_1817__180s,classical_musicnet_1817,classical,discovery,180.0,phase_state_rhythm__h1_dominant_persistence,rhythm,h1_dominant_persistence,phase_state_persistent_path_homology,0.13352091179038877,1.0,0.10071226023361332,0.33333333,1.82982115,0.13352091179038877,0.5039008598497304,8.0,8.0,0.3333333333333333,0.42155765184437377,0.3546286903040672,0.35416666666666663,46.0,0.1509583303600004,17.0,28.0,3.0
