track,group,scale,name,path_h1,path_h1_q25,path_h1_mean,period,lag_peak
classical_musicnet_1729,classical,180.0,acoustic_2s,0.41147429146099657,0.4200482086088529,0.4303228860449927,9,0.10133741894425996
classical_musicnet_1729,classical,180.0,rhythm_2s,0.32470352040269346,0.3728860065960959,0.4076606994874864,9,0.24666835056691894
classical_musicnet_1729,classical,180.0,chroma_4beat,0.3561652898788452,0.35672420263290405,0.36550188064575195,8,0.023139536380767822
classical_musicnet_1729,classical,300.0,acoustic_2s,0.37572020642086257,0.4119073315239468,0.42426735831372187,9,0.1378083935130403
classical_musicnet_1729,classical,300.0,rhythm_2s,0.3176522705156455,0.39313212519326,0.41546400628470265,9,0.1267155958660644
classical_musicnet_1729,classical,300.0,chroma_4beat,0.3628869950771332,0.36444124579429626,0.3696173429489136,8,0.01402956247329712
classical_musicnet_1763,classical,180.0,acoustic_2s,0.32771402831097174,0.3603594455687247,0.38258167514133073,8,0.1803896917383847
classical_musicnet_1763,classical,180.0,rhythm_2s,0.3246852547745222,0.35545397127077993,0.37183774099991745,11,0.06072092250279648
classical_musicnet_1763,classical,180.0,chroma_4beat,0.361055463552475,0.3620114326477051,0.3737953305244446,9,0.01335233449935913
classical_musicnet_1763,classical,300.0,acoustic_2s,0.35811233051001484,0.3639042549058005,0.39239946471696807,30,0.1728250910739526
classical_musicnet_1763,classical,300.0,rhythm_2s,0.36753262569985007,0.3734972657109871,0.3933070527952306,8,0.14814937567627928
classical_musicnet_1763,classical,300.0,chroma_4beat,0.3680732846260071,0.3701138496398926,0.37564224004745483,24,0.010315477848052979
classical_musicnet_1817,classical,180.0,acoustic_2s,0.3304954383819713,0.34510805707932324,0.3752847635500862,22,0.07817405891170326
classical_musicnet_1817,classical,180.0,rhythm_2s,0.3202969017992433,0.3574112874698605,0.3783172886599468,17,0.14556126414977077
classical_musicnet_1817,classical,180.0,chroma_4beat,0.35747024416923523,0.35772544145584106,0.36543965339660645,14,0.018399178981781006
classical_musicnet_1817,classical,300.0,acoustic_2s,0.35658853212205,0.37160938778653174,0.38536492563078384,23,0.10245310924461604
classical_musicnet_1817,classical,300.0,rhythm_2s,0.3723582446326951,0.3728998003818849,0.38449254515631315,14,0.1306051177808918
classical_musicnet_1817,classical,300.0,chroma_4beat,0.3717799782752991,0.37354016304016113,0.3798601031303406,15,0.016434192657470703
classical_musicnet_1873,classical,180.0,acoustic_2s,0.31904147808117855,0.32877128673609796,0.3584434959534759,12,0.08792995852391394
classical_musicnet_1873,classical,180.0,rhythm_2s,0.3303013260219628,0.35597834668583994,0.37682075278165744,19,0.09189509188497036
classical_musicnet_1873,classical,180.0,chroma_4beat,0.3518156111240387,0.35422372817993164,0.364480197429657,21,0.00581204891204834
classical_musicnet_1873,classical,300.0,acoustic_2s,0.3378074809715424,0.35400727183038294,0.36971548194371096,12,0.12980462268712456
classical_musicnet_1873,classical,300.0,rhythm_2s,0.33280136477955086,0.35416220414075705,0.365006354665554,23,0.05330396224869771
classical_musicnet_1873,classical,300.0,chroma_4beat,0.35035720467567444,0.3619822859764099,0.36757391691207886,14,0.01148611307144165
