segment_id,track_id,group,split,scale_seconds,representation,method,sequence_points,synthetic_loop_score,shuffled_score,loop_score,h1_max_persistence,h1_best_persistence,dominant_period_seconds,lag_peak_strength,path_h1_cycle_strength,path_h1_betti_max,path_h1_betti_auc,phase_edge_q25,phase_edge_mean
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,1.0,0.3653373897423452,0.38159404228983906,0.0,0.0,12.0,0.17458172782538983,0.38159404228983906,1.0,0.325,0.39167701756877166,0.41806129256025293
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,path_chroma_phase,phase_lifted_path_homology,97,0.9999999733812573,0.35828946731342987,0.38220015171031535,0.0,0.0,27.1673583984375,0.0319568442244243,0.38220015171031535,1.0,0.325,0.38342222959495365,0.3894265829057884
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,path_rhythm_phase,phase_lifted_path_homology,89,1.0,0.3356229692142509,0.3247034908050188,0.0,0.0,18.0,0.22746616717039259,0.3247034908050188,1.0,0.275,0.3408610919840658,0.396977439910785
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,sw_acoustic_novelty,sliding_window_homology,358,0.4060945510864258,0.14998000860214233,0.19141417741775513,0.19141417741775513,0.19141417741775513,9.0,0.1651908788181394,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,sw_loudness,sliding_window_homology,359,0.5533958375453949,0.12486368417739868,0.10983318090438843,0.10983318090438843,0.12776994705200195,25.0,0.2238668436031439,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,sw_modulation,sliding_window_homology,88,0.213523268699646,0.12202835083007812,0.16576260328292847,0.16576260328292847,0.5205248594284058,26.0,0.11773545066559263,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,sw_onset,sliding_window_homology,359,0.9490636885166168,0.1309601068496704,0.1575295329093933,0.1575295329093933,0.1575295329093933,4.0,0.22976790156425897,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__180s,classical_musicnet_1729,classical,discovery,180.0,sw_tonal_novelty,sliding_window_homology,390,0.20518338680267334,0.13743191957473755,0.14398729801177979,0.14398729801177979,0.19886767864227295,31.242462158203125,0.13066985958987548,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,path_acoustic_phase,phase_lifted_path_homology,149,,,0.4144895250694678,0.0,0.0,12.0,0.1687554150472086,0.4144895250694678,1.0,0.375,0.41536947802564506,0.42365194045111315
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,path_chroma_phase,phase_lifted_path_homology,163,,,0.37599725594989447,0.0,0.0,57.95703125,0.028024981074790845,0.37599725594989447,1.0,0.325,0.3799793678182507,0.38993640479074826
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,path_rhythm_phase,phase_lifted_path_homology,149,,,0.3176522403354476,0.0,0.0,18.0,0.12549637840212235,0.3176522403354476,1.0,0.275,0.3428121934101073,0.40523613478331516
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,sw_acoustic_novelty,sliding_window_homology,598,,,0.15904176235198975,0.15904176235198975,0.1697632074356079,9.0,0.10687737396555666,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,sw_loudness,sliding_window_homology,599,,,0.18193957209587097,0.18193957209587097,0.18193957209587097,4.0,0.21608231755244184,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,sw_modulation,sliding_window_homology,148,,,0.23359566926956177,0.23359566926956177,0.23359566926956177,20.0,0.06597318512135192,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,sw_onset,sliding_window_homology,599,,,0.15739843249320984,0.15739843249320984,0.15739843249320984,4.0,0.2197310015410486,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1729__300s,classical_musicnet_1729,classical,discovery,300.0,sw_tonal_novelty,sliding_window_homology,652,,,0.12213963270187378,0.12213963270187378,0.12213963270187378,7.24462890625,0.09770997159044745,0.0,0.0,0.0,0.0,0.0
classical_musicnet_1742__180s,classical_musicnet_1742,classical,discovery,180.0,path_acoustic_phase,phase_lifted_path_homology,89,1.0,0.36146951202893757,0.4428797475775048,0.0,0.0,14.0,0.1959844171627969,0.4428797475775048,1.0,0.375,0.44417973082454126,0.4557023408483188
classical_musicnet_1742__180s,classical_musicnet_1742,classical,discovery,180.0,path_chroma_phase,phase_lifted_path_homology,90,0.9999999590208243,0.3716538863510659,0.4042085477423922,0.0,0.0,13.978290557861328,0.05227124452929954,0.4042085477423922,1.0,0.375,0.4050198361769395,0.41299517342646314
