track_id,composer_key,album_key,subpool,old_split,new_split
classical_musicnet_1727,schubert,musicnet_schubert_op114,mixed_chamber,discovery,validation
classical_musicnet_1728,schubert,musicnet_schubert_op114,mixed_chamber,discovery,validation
classical_musicnet_1729,schubert,musicnet_schubert_op114,mixed_chamber,discovery,validation
classical_musicnet_1730,schubert,musicnet_schubert_op114,mixed_chamber,discovery,validation
classical_musicnet_1739,schubert,musicnet_schubert_op99,mixed_chamber,discovery,validation
classical_musicnet_1742,schubert,musicnet_schubert_op163,string_chamber,discovery,validation
classical_musicnet_1763,schubert,musicnet_schubert_op142,piano_solo,discovery,validation
classical_musicnet_1764,schubert,musicnet_schubert_op142,piano_solo,discovery,validation
classical_musicnet_1765,schubert,musicnet_schubert_op142,piano_solo,discovery,validation
classical_musicnet_1766,schubert,musicnet_schubert_op142,piano_solo,discovery,validation
classical_musicnet_1805,mozart,musicnet_mozart_k387,string_chamber,discovery,validation
classical_musicnet_1807,mozart,musicnet_mozart_k387,string_chamber,discovery,validation
classical_musicnet_1811,mozart,musicnet_mozart_k581,mixed_chamber,discovery,validation
classical_musicnet_1812,mozart,musicnet_mozart_k581,mixed_chamber,discovery,validation
classical_musicnet_1813,mozart,musicnet_mozart_k581,mixed_chamber,discovery,validation
classical_musicnet_1817,mozart,musicnet_mozart_k375,mixed_chamber,discovery,validation
classical_musicnet_1818,mozart,musicnet_mozart_k375,mixed_chamber,discovery,validation
classical_musicnet_1819,mozart,musicnet_mozart_k375,mixed_chamber,discovery,validation
classical_musicnet_1828,mozart,musicnet_mozart_k542,mixed_chamber,discovery,validation
classical_musicnet_1829,mozart,musicnet_mozart_k542,mixed_chamber,discovery,validation
classical_musicnet_1835,mozart,musicnet_mozart_k590,string_chamber,discovery,validation
classical_musicnet_1859,mozart,musicnet_mozart_k464,string_chamber,discovery,validation
classical_musicnet_1872,mozart,musicnet_mozart_k502,mixed_chamber,discovery,validation
classical_musicnet_1873,mozart,musicnet_mozart_k502,mixed_chamber,discovery,validation
classical_musicnet_1876,mozart,musicnet_mozart_k496,mixed_chamber,discovery,validation
classical_musicnet_1893,mozart,musicnet_mozart_k564,mixed_chamber,discovery,validation
