segment_id,track_id,group,split,scale_seconds,pitch_whitened_00,pitch_whitened_01,pitch_whitened_02,pitch_whitened_03,pitch_whitened_04,pitch_whitened_05,pitch_whitened_06,pitch_whitened_07,pitch_whitened_08,pitch_whitened_09,pitch_whitened_10,pitch_whitened_11,pitch_whitened_12,pitch_whitened_13,pitch_whitened_14,pitch_whitened_15,path_acoustic_phase__loop_score,path_chroma_phase__loop_score,pitch_block_l2_norm,phase_block_l2_norm,joint_l2_norm,focus_logit,focus_probability,focus_band_loss,predicted_group
classical_musicnet_1727__180s,classical_musicnet_1727,classical,validation,180.0,-7.759203471339588e-14,8.869342412452182e-13,1.1211241525311936e-12,0.2724027396331914,0.0689939304623998,0.4269853460378548,0.1425841559958656,-0.028370719878026827,0.06564720312837151,0.08432583654524786,0.1321367183744223,-0.01125600403589007,0.05154773831558706,-0.15728638359317776,-0.18433379935128136,0.003598353015457042,-0.17660529563443764,-0.3310385555609894,0.8634932836948553,0.5306146543661104,0.7166493432684462,-3.488659873759454,0.02963661963491327,26.272305701665932,classical
classical_musicnet_1727__300s,classical_musicnet_1727,classical,validation,300.0,-1.0799095848125282e-13,1.2344932582468885e-12,1.5597443382976928e-12,0.37999902627118126,0.4154148764191695,-0.1029953083547094,0.2712852651088387,-0.028778454228732906,0.08451993199857209,0.16515222837316357,0.0827546586968225,-0.06671373653416801,0.20351390896980456,-0.1685763405451576,-0.21336236031787523,0.013430704519507291,0.005993654848887359,0.045332214920539654,1.0613749719430587,0.06466735819638203,0.7518971666003365,-3.7246812662051076,0.023552678171006515,28.747538718415196,classical
classical_musicnet_1728__180s,classical_musicnet_1728,classical,validation,180.0,-6.975904182690196e-14,7.972292218318415e-13,1.0090419539298943e-12,0.24461344770239263,-0.07097337434022609,0.10171194458677293,0.000553887638396417,-0.17797224680289794,0.039648102023577166,-0.056196478499421026,-0.07046042779562096,0.15423735577307138,0.01002454683809604,0.06901622731741845,-0.09267138893171006,-0.04146120611182759,0.37896956332504766,0.21721785134563068,0.557758558624315,0.6177402769287265,0.58851408626245,-3.6020100585469725,0.026545003467770768,27.447141108543413,classical
classical_musicnet_1728__300s,classical_musicnet_1728,classical,validation,300.0,-7.561592955870699e-14,8.641140704424162e-13,1.0940538440968651e-12,0.2652900007586843,-0.03330256279444049,-0.22771987802319807,0.0886165840639719,-0.0322354798247603,-0.07120176203324081,-0.023941046276758117,0.020350902024925083,0.20740967778360495,0.07970802998831983,-0.007201799958912222,-0.11800054318389466,0.020834412364137012,0.0949919228087353,0.08017745631129294,0.6357286344523603,0.17579470924604082,0.46639826139339474,-4.294010565793086,0.013466255522780272,35.17678978156115,classical
classical_musicnet_1729__180s,classical_musicnet_1729,classical,validation,180.0,-4.679311871991687e-14,5.345043136687524e-13,6.78598971735555e-13,0.1635521874104205,-0.2781685171208325,-0.29801603403159,-0.043039094357507815,0.24771849525585382,-0.2823402595460806,0.026920906253666603,-0.0020391842815964947,0.08130973557998819,0.06725824393047196,0.2606792207540483,-0.07013064829029124,0.1297332510882365,0.14017997770048685,-0.08377856194858088,0.9353501542230808,0.23095139571035805,0.6812556268339011,-3.6270274987575526,0.025906144024940944,27.709899815407493,classical
classical_musicnet_1729__300s,classical_musicnet_1729,classical,validation,300.0,-8.756327198581307e-14,1.0007865732353904e-12,1.2660131267403548e-12,0.30723020946309976,-0.004166687233236621,0.22440429835280096,0.16159261506032693,-0.07058930490271952,0.028508397011253267,0.12357748998901226,0.039323297066876796,0.09325675124375984,0.10623892185417352,0.0116308629269087,0.07388346110855094,0.028709009281593017,0.01242814826691904,-0.12508378203996637,0.6631625770842229,0.17776620263011944,0.48548193912983023,-3.622459786514922,0.026021660267606345,27.66183162805651,classical
classical_musicnet_1730__180s,classical_musicnet_1730,classical,validation,180.0,-7.315171467188344e-14,8.361088121419999e-13,1.057409302829714e-12,0.2569413019160328,0.08576841240333014,0.011739456934944388,-0.10902390313181501,0.04847422554756605,-0.023724110136954062,0.08146530590077783,-0.10223741587532613,-0.13175857064406565,-0.24089998261195317,-0.13333099746784682,0.0034381158617674754,0.017418049769808864,0.30705921946023956,-0.2036770896664049,0.6306920568061006,0.521094465736316,0.5784945603630712,-4.655529260696601,0.009419312132349854,39.59582206162482,classical
classical_musicnet_1730__300s,classical_musicnet_1730,classical,validation,300.0,-9.95581326464516e-14,1.1380380722765282e-12,1.4383512376264025e-12,0.35005943604402306,0.2725261204032572,0.001999247855356603,0.06257497811204084,-0.026033099394583602,0.05986387604358224,0.083327203977922,0.0667115428042837,0.03839780976120008,0.059548741470315955,-0.16182755093783302,-0.12269233197680425,0.009914044734663095,0.2766351603496027,-0.10808557074412432,0.7249100302588941,0.4200226244971419,0.5924160518839009,-4.387444935080078,0.012279786515433594,36.293838704819464,classical
classical_musicnet_1739__180s,classical_musicnet_1739,classical,validation,180.0,-1.736889047222972e-14,1.9849981876989134e-13,2.5120405615592355e-13,0.060970436002609756,0.0013840228797535345,-0.03629433680602406,-0.10600807754616845,-0.2394332773052779,0.06748468457769635,-0.1592778616224843,-0.14761128919790575,-0.039820130709699635,0.04906705317710156,0.10933494796199597,-0.14269476909414155,-0.1150828027972876,-0.4006904103076633,-0.22033178889258884,0.5913856707764977,0.646682150842486,0.6196510372048255,-1.9554120517088842,0.12396442715587808,12.905365868978635,classical
classical_musicnet_1739__300s,classical_musicnet_1739,classical,validation,300.0,-6.425094074783176e-14,7.342068155716856e-13,9.2980288648675e-13,0.22550585334665316,0.00046989170172870726,-0.4097626643157035,0.14710690595393142,0.03065798930210161,-0.118620222500954,0.01690342237038783,-0.060020891823592215,0.03640693563422577,0.10381833948348947,0.022271481725630784,-0.16301863877889844,0.03785956966833055,-0.3794412948108938,-0.18971992200361784,0.7744753724348452,0.5999489061792287,0.6927303921922817,-4.227989316675523,0.014372110711024738,34.398004209480206,classical
