track_id,group,scale,name,h1,h1max,period,peak,loop,shuffle
classical_musicnet_1730,classical,180.0,acoustic_novelty,0.4877130389213562,0.4877130389213562,2.0,0.22407636557611327,52860224.0,0.13682925701141357
classical_musicnet_1730,classical,180.0,onset,0.16956281661987305,0.16956281661987305,2.0,0.27851857909205213,105437248.0,0.13547754287719727
classical_musicnet_1730,classical,180.0,loudness,0.135727196931839,0.135727196931839,2.0,0.3012028572595215,110784896.0,0.14837712049484253
classical_musicnet_1730,classical,180.0,tonal_novelty,0.1727166771888733,0.1727166771888733,2.043365478515625,0.27347239115812827,160409120.0,0.150951087474823
classical_musicnet_1730,classical,180.0,modulation,0.19133931398391724,0.19133931398391724,6.0,0.44908741632687527,93683136.0,0.12672263383865356
classical_musicnet_1730,classical,300.0,acoustic_novelty,0.4488140344619751,0.4488140344619751,5.5,0.169664463519286,266606128.0,0.10271531343460083
classical_musicnet_1730,classical,300.0,onset,0.20165744423866272,0.20165744423866272,2.0,0.2416212439037027,106190304.0,0.12712866067886353
classical_musicnet_1730,classical,300.0,loudness,0.12327313423156738,0.12327313423156738,2.0,0.3967959702809171,110381888.0,0.14326143264770508
classical_musicnet_1730,classical,300.0,tonal_novelty,0.14517521858215332,0.14517521858215332,2.0433502197265625,0.1652756975293822,160361824.0,0.16307151317596436
classical_musicnet_1730,classical,300.0,modulation,0.2052261233329773,0.2052261233329773,6.0,0.49200309855878693,138667456.0,0.14520937204360962
classical_musicnet_1835,classical,180.0,acoustic_novelty,0.1548359990119934,0.18746381998062134,28.5,0.23436705830551763,0.24160844087600708,0.15717941522598267
classical_musicnet_1835,classical,180.0,onset,0.16908317804336548,0.16908317804336548,2.0,0.29525605965146023,90340448.0,0.15824419260025024
classical_musicnet_1835,classical,180.0,loudness,0.269537091255188,0.269537091255188,2.0,0.5696184554842196,89993472.0,0.1319923996925354
classical_musicnet_1835,classical,180.0,tonal_novelty,0.1508679986000061,0.17506104707717896,17.763261795043945,0.10545753730296867,0.1899329423904419,0.12100929021835327
classical_musicnet_1835,classical,180.0,modulation,0.1438937783241272,0.1438937783241272,30.0,0.11676797276639231,0.48471009731292725,0.13745492696762085
classical_musicnet_1835,classical,300.0,acoustic_novelty,0.14651399850845337,0.1721574068069458,17.0,0.16014053000287162,0.42674368619918823,0.13765287399291992
