track_id,group,scale,name,strength,q25,mean,period,peak,loop,shuffle
classical_musicnet_1730,classical,180.0,acoustic_2s,0.0,0.0,0.10970772621048999,5,0.2368450581439394,1.0,0.3486025828277592
classical_musicnet_1730,classical,180.0,rhythm_2s,0.0,0.0,0.1984502308616818,6,0.14276477860422454,1.0,0.32691100589272604
classical_musicnet_1730,classical,180.0,chroma_4beat,0.34810951352119446,0.3548101782798767,0.36160486936569214,11,0.022475361824035645,0.3366888165473938,0.32807815074920654
classical_musicnet_1730,classical,300.0,acoustic_2s,0.0,0.0,0.10570348001598892,5,0.14015091535327606,1.0,0.3582604922185667
classical_musicnet_1730,classical,300.0,rhythm_2s,0.0,0.0,0.20239155523372265,6,0.1296739253098922,1.0,0.3145787961601954
classical_musicnet_1730,classical,300.0,chroma_4beat,0.0,0.0,0.18755080550909042,6,0.018250226974487305,0.3571663796901703,0.36099541187286377
classical_musicnet_1835,classical,180.0,acoustic_2s,0.3683622163783595,0.4206389886536287,0.4452470390659331,17,0.3209068632052203,1.0,0.21626705109317285
classical_musicnet_1835,classical,180.0,rhythm_2s,0.3617128392164959,0.37196857454580723,0.3897897908163075,14,0.19248646946373893,1.0,0.0
classical_musicnet_1835,classical,180.0,chroma_4beat,0.3522631525993347,0.3606511056423187,0.37237343192100525,22,0.014151275157928467,0.368062824010849,0.35707560181617737
classical_musicnet_1835,classical,300.0,acoustic_2s,0.28271793302576714,0.38657471226026896,0.4107121456062198,17,0.19991544156966334,1.0,0.28404905109509554
classical_musicnet_1835,classical,300.0,rhythm_2s,0.3463351348299065,0.35593593077740704,0.3666421548844204,14,0.10843928935889124,1.0,0.33806494537066767
classical_musicnet_1835,classical,300.0,chroma_4beat,0.3613675534725189,0.3619031012058258,0.37171924114227295,11,0.018353581428527832,0.3573707342147827,0.3554443418979645
classical_musicnet_2118,classical,180.0,acoustic_2s,0.2919026070379127,0.32494172208435573,0.38455520419883826,18,0.11103502946498023,1.0,0.30012144998760576
classical_musicnet_2118,classical,180.0,rhythm_2s,0.32287348766741897,0.36883779381833426,0.3834396439852513,8,0.10013050179030203,1.0,0.3414159473840491
classical_musicnet_2118,classical,180.0,chroma_4beat,0.3443477153778076,0.35056817531585693,0.3664107620716095,19,0.010928630828857422,0.3685636520385742,0.3495723307132721
classical_musicnet_2118,classical,300.0,acoustic_2s,0.36176149439026106,0.3637835833202849,0.3970471292846227,18,0.08998630326276058,1.0,0.2903285511013928
classical_musicnet_2118,classical,300.0,rhythm_2s,0.0,0.0,0.0,4,0.10247057911332402,1.0,0.27854219669320024
classical_musicnet_2118,classical,300.0,chroma_4beat,0.3501160740852356,0.36031073331832886,0.36591649055480957,10,0.00746464729309082,0.37787145376205444,0.34847691655158997
classical_musicnet_2138,classical,180.0,acoustic_2s,0.0,0.0,0.0,4,0.23377794768410443,1.0,0.3398289882895763
classical_musicnet_2138,classical,180.0,rhythm_2s,0.0,0.0,0.18953618560610208,6,0.11758144656308622,1.0,0.30862602748969237
classical_musicnet_2138,classical,180.0,chroma_4beat,0.0,0.0,0.0,4,0.016604125499725342,0.38440901041030884,0.33199551701545715
